handle,sku,titulo,cat,price,cost_net,fuente,gross_pct,net_pct,net_eur,carrier,fee,esc,alerta,notas,compare_ok
sillon-exterior-aluminio-estilo-envolvente-9890-cm,557-010881,Sillón exterior aluminio · estilo envolvente | 98×90 cm,m,1189.0,618.0,shopify,37.1,34.5,339.38,0.0,25.27,envio_gratis,OK,,OK
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,557-010882,Sofá terraza aluminio 2 plazas · estilo contemporáneo |,l,1779.0,927.0,shopify,36.9,34.4,505.59,0.0,37.66,envio_gratis,OK,,OK
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,557-010879,Sofá terraza aluminio 3 plazas · estilo contemporáneo |,l,2349.0,1223.0,shopify,37.0,34.4,668.69,0.0,49.63,envio_gratis,OK,,OK
set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,557-010884,Set jardín · contemporáneo | sofá 2 plazas + 2 sillones,l,349.9,240.0,shopify,17.0,34.4,99.48,0,7.65,cliente_paga,OK,,OK
set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,557-010884,Set jardín aluminio 2 plazas · contemporáneo | sofá 2 p,l,4679.0,2435.0,shopify,37.0,33.2,1283.38,50.0,98.56,envio_gratis,OK,,OK
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,557-010885,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 p,l,5249.0,2732.0,shopify,37.0,34.5,1495.49,0.0,110.53,envio_gratis,OK,,OK
sillon-exterior-estilo-elegante-7275-cm,557-010935,Sillón exterior · estilo elegante | 72×75 cm,m,795.0,413.0,shopify,37.1,26.9,177.03,50.0,17.0,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,557-010936,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,l,1169.0,608.0,shopify,37.1,34.5,333.27,0.0,24.85,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,557-010937,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,l,1485.0,772.0,shopify,37.1,34.5,423.79,0.0,31.49,envio_gratis,OK,,OK
mesa-de-centro-exterior-90-cm-altura-40-cm,557-1071,Mesa de centro exterior 90 cm · altura 40 cm,m,338.95,177.0,shopify,36.8,44.9,125.66,0.0,7.42,cliente_paga,OK,,OK
mesa-de-centro-exterior-120-cm-altura-40-cm,557-1563,Mesa de centro exterior 120 cm · altura 40 cm,m,322.95,215.0,shopify,19.4,28.0,74.77,0,7.08,cliente_paga,OK,,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa,557-010938,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sill,l,3095.0,1610.0,shopify,37.1,34.5,882.56,0.0,65.3,envio_gratis,OK,,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa,557-010939,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 s,l,3540.0,1843.0,shopify,37.0,34.5,1007.98,0.0,74.64,envio_gratis,OK,,OK
sillon-exterior-estilo-versatil-7783-cm,600-010021,Sillón exterior · estilo versátil | 77×83 cm,m,959.0,498.0,shopify,37.2,28.3,224.12,50.0,20.44,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-estilizado-14383-cm,600-010022,Sofá terraza 2 plazas · estilo estilizado | 143×83 cm,l,1399.0,728.0,shopify,37.0,34.5,398.52,0.0,29.68,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm,600-010023,Sofá terraza 3 plazas · estilo contemporáneo | 185×83 c,l,1775.0,923.0,shopify,37.1,34.5,506.37,0.0,37.58,envio_gratis,OK,,OK
mesa-de-centro-exterior-hpl-70-cm-altura-45-cm,600-010024,Mesa de centro exterior HPL 70 cm · altura 45 cm,m,505.0,262.0,shopify,37.2,22.6,94.45,50.0,10.91,envio_gratis,OK,,OK
reposapies-exterior-734640-cm,600-010025,Reposapiés exterior · 73×46×40 cm,m,387.95,202.0,shopify,37.0,28.1,90.12,50.0,8.45,cliente_paga,OK,carrier(50)>rate(29.95),OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa,600-010026,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillo,l,3819.0,1988.0,shopify,37.0,34.5,1087.7,0.0,80.5,envio_gratis,OK,,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,600-010027,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2,l,4195.0,2183.0,shopify,37.0,34.5,1195.55,0.0,88.39,envio_gratis,OK,,OK
sillon-exterior-estilo-elegante-6590-cm,557-010813,Sillón exterior · estilo elegante | 65×90 cm,m,1019.0,530.0,shopify,37.1,28.6,240.45,50.0,21.7,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm,557-010814,Sofá terraza 2 plazas · estilo contemporáneo | 130×90 c,l,1455.0,756.0,shopify,37.1,34.6,415.62,0.0,30.86,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,557-010815,Sofá terraza 3 plazas · estilo contemporáneo | 185×90 c,l,1840.0,958.0,shopify,37.0,34.4,523.72,0.0,38.94,envio_gratis,OK,,OK
reposapies-exterior-605040-cm,557-010785,Reposapiés exterior · 60×50×40 cm,m,326.95,171.0,shopify,36.7,45.1,121.99,0.0,7.17,cliente_paga,OK,,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,557-010816,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sill,l,3825.0,1991.0,shopify,37.0,34.5,1089.53,0.0,80.62,envio_gratis,OK,,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,557-010817,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 s,l,4345.0,2262.0,shopify,37.0,34.5,1237.36,0.0,91.55,envio_gratis,OK,,OK
sillon-exterior-estilo-envolvente-7582-cm,557-1089,Sillón exterior · estilo envolvente | 75×82 cm,m,795.0,413.0,shopify,37.1,26.9,177.03,50.0,17.0,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,557-1090,Sofá terraza 3 plazas · estilo contemporáneo | 198×82 c,l,1489.0,775.0,shopify,37.0,34.5,424.01,0.0,31.57,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,557-1091,Sofá terraza 2 plazas · estilo contemporáneo | 150×82 c,l,1055.0,549.0,shopify,37.0,28.7,250.45,50.0,22.46,envio_gratis,OK,,OK
