handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
tumbona-carmen-tablillas,Tumbona exterior resina · 75 cm tablillas · Carmen T,ACTIVE,Tumbona,santavila,0,NO,NO,5,5
tumbona-lola-tablillas,Tumbona exterior resina playa · 75 cm tablillas · Lola T,ACTIVE,Tumbona,santavila,0,NO,NO,5,5
mesa-exterior-aluminio-hpl-120x80-capri-doble,Mesa exterior aluminio · HPL 120×80 cm · Capri Doble,ACTIVE,Mesa,santavila,0,NO,NO,15,15
balliu-parasol-para-terraza-acrilico-236bd5f0,Parasol exterior acrílico · Ø200 cm · Pamela acrílico,ACTIVE,Parasol,Balliu,1,sí,sí,24,24
balliu-parasol-para-terraza-82e48b2d,Parasol exterior tela · Ø200 cm · Pamela tela,ACTIVE,Parasol,Balliu,1,sí,sí,64,64
balliu-parasol-para-terraza-f1ed8b8b,Parasol exterior tela · Ø200/Ø250 cm · Ocean tela,ACTIVE,Parasol,Balliu,1,sí,sí,19,19
balliu-parasol-para-terraza-acrilico-c8dd492d,Parasol exterior acrílico · Ø200/Ø250 cm · Ocean acrílico,ACTIVE,Parasol,Balliu,1,sí,sí,24,24
balliu-mesa-exterior-5d0fb586,Mesa auxiliar exterior resina decorativa · 48×48 cm · Mini Prestige,ACTIVE,Mesa,Balliu,2,sí,sí,5,5
balliu-mesa-exterior-140-18090-cm-e4ec7d7c,Mesa extensible exterior aluminio · HPL · Atlanta,ACTIVE,Mesa,Balliu,2,sí,sí,30,30
balliu-mesa-exterior-hpl-140-180100-cm-8e073aab,Mesa extensible exterior aluminio · HPL · Java,ACTIVE,Mesa,Balliu,2,sí,sí,30,30
balliu-colchoneta-para-tumbona-0e9a3256,Colchoneta exterior para tumbona,ACTIVE,Tumbona,Balliu,2,sí,sí,6,6
balliu-funda-protectora-exterior-686cc405,Funda protectora para tumbona exterior,ACTIVE,Funda,Balliu,2,sí,sí,3,3
balliu-funda-protectora-exterior-acrilico-a1c16324,Funda protectora exterior acrílico,ACTIVE,Funda,Balliu,2,sí,sí,1,1
