handle,vendor,type,status,live_media,local_assoc,local_files
sillon-exterior-aluminio-estilo-envolvente-9890-cm,Hevea,Sillón,ACTIVE,1,1,images_cutout/sillon-exterior-aluminio-estilo-envolvente-9890-cm.png
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm.png
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm.png
set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,1,images_cutout/set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa.png
set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,2,images_optimized/1739541476_BRANDON-7.jpg | images_cutout/set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa.png
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,1,images_cutout/set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa.png
sillon-exterior-estilo-elegante-7275-cm,Hevea,Sillón,ACTIVE,2,2,images_optimized/sillon-damasco.jpg | images_cutout/sillon-exterior-estilo-elegante-7275-cm.png
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-2-plazas-estilo-envolvente-13575-cm.png
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-3-plazas-estilo-sofisticado-19475-cm.png
mesa-de-centro-exterior-90-cm-altura-40-cm,Hevea,Mesa centro,ACTIVE,2,2,images_optimized/mesa-universal-centro-estandar-90.jpg | images_cutout/mesa-de-centro-exterior-90-cm-altura-40-cm.png
mesa-de-centro-exterior-120-cm-altura-40-cm,Hevea,Mesa centro,ACTIVE,2,2,images_optimized/mesa-centro-120-estandar.jpg | images_cutout/mesa-de-centro-exterior-120-cm-altura-40-cm.png
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,1,images_cutout/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa.png
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,2,2,images_optimized/1739779545_damasco-8.jpg | images_cutout/set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa.png
sillon-exterior-estilo-versatil-7783-cm,Hevea,Sillón,ACTIVE,1,1,images_cutout/sillon-exterior-estilo-versatil-7783-cm.png
sofa-terraza-2-plazas-estilo-estilizado-14383-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-2-plazas-estilo-estilizado-14383-cm.png
sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm.png
mesa-de-centro-exterior-hpl-70-cm-altura-45-cm,Hevea,Mesa centro,ACTIVE,1,1,images_cutout/mesa-de-centro-exterior-hpl-70-cm-altura-45-cm.png
reposapies-exterior-734640-cm,Hevea,Reposapiés,ACTIVE,1,1,images_cutout/reposapies-exterior-734640-cm.png
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,2,images_optimized/1739779626_yina-7.jpg | images_cutout/set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa.png
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,2,images_optimized/1739779626_yina-8.jpg | images_cutout/set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa.png
sillon-exterior-estilo-elegante-6590-cm,Hevea,Sillón,ACTIVE,2,2,images_optimized/sillon-individual.jpg | images_cutout/sillon-exterior-estilo-elegante-6590-cm.png
sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm.png
sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,Hevea,Sofá,ACTIVE,2,2,images_optimized/mesa-120-estandar-cupra.jpg | images_cutout/sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm.png
reposapies-exterior-605040-cm,Hevea,Reposapiés,ACTIVE,1,1,images_cutout/reposapies-exterior-605040-cm.png
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/1739542096_CUPRA-7.jpg
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/1739542096_CUPRA-8.jpg
sillon-exterior-estilo-envolvente-7582-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,Hevea,Sofá,ACTIVE,2,2,images_optimized/bellagio-3-plazas.jpg | images_cutout/sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm.png
sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,Hevea,Sofá,ACTIVE,2,2,images_optimized/bellagio-2-plazas.jpg | images_cutout/sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm.png
mesa-de-centro-exterior-125-cm-altura-38-cm,Hevea,Mesa centro,ACTIVE,1,1,images_cutout/mesa-de-centro-exterior-125-cm-altura-38-cm.png
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,Hevea,Conjunto sofá,ACTIVE,1,1,images_cutout/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3.png
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,Hevea,Conjunto sofá,ACTIVE,1,1,images_cutout/set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3.png
sillon-exterior-estilo-estilizado-7069-cm,Hevea,Sillón,ACTIVE,1,1,images_cutout/sillon-exterior-estilo-estilizado-7069-cm.png
sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm.png
sofa-terraza-3-plazas-estilo-elegante-22069-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-3-plazas-estilo-elegante-22069-cm.png
reposapies-exterior-504540-cm,Hevea,Reposapiés,ACTIVE,1,1,images_cutout/reposapies-exterior-504540-cm.png
sillon-exterior-estilo-elegante-6578-cm,Hevea,Sillón,ACTIVE,1,1,images_cutout/sillon-exterior-estilo-elegante-6578-cm.png
sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm.png
sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-3-plazas-estilo-sofisticado-17578-cm.png
