handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
sillon-exterior-aluminio-estilo-envolvente-9890-cm,Hevea,1,1189.0,1189.0,1189.0,618.0,37.1,OK
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,Hevea,1,1779.0,1779.0,1779.0,927.0,36.9,OK
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,Hevea,1,2349.0,2349.0,2349.0,1223.0,37.0,OK
set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,Hevea,1,349.9,349.9,,,,SIN_FUENTE_EXCEL
set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Hevea,1,4679.0,4679.0,"529.0, 4679.0",275.0,92.9,OK
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Hevea,1,5249.0,5249.0,5249.0,2732.0,37.0,OK
sillon-exterior-estilo-elegante-7275-cm,Hevea,1,795.0,795.0,795.0,413.0,37.1,OK
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,Hevea,1,1169.0,1169.0,1169.0,608.0,37.1,OK
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,Hevea,1,1485.0,1485.0,1485.0,772.0,37.1,OK
mesa-de-centro-exterior-90-cm-altura-40-cm,Hevea,1,338.95,338.95,338.95,177.0,36.8,OK
mesa-de-centro-exterior-120-cm-altura-40-cm,Hevea,1,322.95,322.95,,,,SIN_FUENTE_EXCEL
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa,Hevea,1,3095.0,3095.0,3095.0,1610.0,37.1,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa,Hevea,1,3540.0,3540.0,3540.0,1843.0,37.0,OK
sillon-exterior-estilo-versatil-7783-cm,Hevea,1,959.0,959.0,959.0,498.0,37.2,OK
sofa-terraza-2-plazas-estilo-estilizado-14383-cm,Hevea,1,1399.0,1399.0,1399.0,728.0,37.0,OK
sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm,Hevea,1,1775.0,1775.0,1775.0,923.0,37.1,OK
mesa-de-centro-exterior-hpl-70-cm-altura-45-cm,Hevea,1,505.0,505.0,505.0,262.0,37.2,OK
reposapies-exterior-734640-cm,Hevea,1,387.95,387.95,387.95,202.0,37.0,OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa,Hevea,1,3819.0,3819.0,3819.0,1988.0,37.0,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Hevea,1,4195.0,4195.0,4195.0,2183.0,37.0,OK
sillon-exterior-estilo-elegante-6590-cm,Hevea,1,1019.0,1019.0,1019.0,530.0,37.1,OK
sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm,Hevea,1,1455.0,1455.0,1455.0,756.0,37.1,OK
sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,Hevea,1,1840.0,1840.0,1840.0,958.0,37.0,OK
reposapies-exterior-605040-cm,Hevea,1,326.95,326.95,326.95,171.0,36.7,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,Hevea,1,3825.0,3825.0,3825.0,1991.0,37.0,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,Hevea,1,4345.0,4345.0,4345.0,2262.0,37.0,OK
sillon-exterior-estilo-envolvente-7582-cm,Hevea,1,795.0,795.0,795.0,413.0,37.1,OK
sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,Hevea,1,1489.0,1489.0,1489.0,775.0,37.0,OK
sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,Hevea,1,1055.0,1055.0,1055.0,549.0,37.0,OK
mesa-de-centro-exterior-125-cm-altura-38-cm,Hevea,1,375.95,375.95,375.95,196.0,36.9,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,Hevea,1,3015.0,3015.0,3015.0,1569.0,37.0,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,Hevea,1,3449.0,3449.0,3449.0,1796.0,37.0,OK
sillon-exterior-estilo-estilizado-7069-cm,Hevea,1,975.0,975.0,975.0,508.0,37.0,OK
sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,Hevea,1,1389.0,1389.0,1389.0,722.0,37.1,OK
sofa-terraza-3-plazas-estilo-elegante-22069-cm,Hevea,1,1919.0,1919.0,1919.0,999.0,37.0,OK
reposapies-exterior-504540-cm,Hevea,1,187.95,187.95,187.95,98.0,36.9,OK
sillon-exterior-estilo-elegante-6578-cm,Hevea,1,515.0,515.0,515.0,268.0,37.0,OK
sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,Hevea,1,875.0,875.0,875.0,454.0,37.2,OK
sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,Hevea,1,1145.0,1145.0,1145.0,596.0,37.0,OK
mesa-de-centro-exterior-90-cm-altura-41-cm,Hevea,1,338.95,338.95,338.95,177.0,36.8,OK
mesa-de-centro-exterior-120-cm-altura-41-cm,Hevea,1,449.9,449.9,449.9,246.0,33.8,OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-2,Hevea,1,2239.0,2239.0,2239.0,1166.0,37.0,OK
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa,Hevea,1,2645.0,2645.0,2645.0,1377.0,37.0,OK
sillon-exterior-estilo-versatil-76100-cm,Hevea,1,599.0,599.0,599.0,312.0,37.0,OK
sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,Hevea,1,950.0,950.0,950.0,495.0,37.0,OK
sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,Hevea,1,1205.0,1205.0,1205.0,627.0,37.0,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,Hevea,1,2815.0,2815.0,2815.0,1465.0,37.0,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,Hevea,1,3140.0,3140.0,3140.0,1635.0,37.0,OK
reposapies-exterior-855043-cm,Hevea,1,349.9,349.9,349.9,186.0,35.7,OK
sillon-exterior-estilo-elegante-80104-cm,Hevea,1,1019.0,1019.0,1019.0,530.0,37.1,OK
sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,Hevea,1,1580.0,1580.0,1580.0,823.0,37.0,OK
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,Hevea,1,2109.0,2109.0,2109.0,1097.0,37.1,OK
mesa-de-centro-exterior-125-cm-altura-42-cm,Hevea,1,569.0,569.0,569.0,297.0,36.8,OK
reposapies-exterior-855043-cm-2,Hevea,1,399.9,399.9,399.9,215.0,34.9,OK
