Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Cost per item
eva-pro-tumbona,Tumbona de exterior resina,"<p>La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.</p>
<p>Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>",Balliu,,Tumbona,"balliu, exterior, tumbona, eva, pro",TRUE,Configuracion,Chasis Blanco/Tablillas Mario Eskenazi,BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TA_923110D9,0,shopify,0,deny,manual,112.55,,TRUE,TRUE,,,,FALSE,Tumbona de exterior resina,"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad. Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable e",active,
eva-pro-tumbona,,,,,,,,Configuracion,Chasis Blanco/Tela Balliu,BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TE_B19AF1EA,0,shopify,0,deny,manual,117.05,,TRUE,TRUE,,,,FALSE,,,active,
eva-pro-tumbona,,,,,,,,Configuracion,Chasis Prestige/Tela Balliu,BALLIU_EVA_PRO_TUMBONA_CHASIS_PRESTIGE__DDEEEF3F,0,shopify,0,deny,manual,124.07,,TRUE,TRUE,,,,FALSE,,,active,
carmen-tumbona,Tumbona de exterior resina | 75 cm,"<p>Una de las tumbonas más resistentes de Balliu, pero también una de las más estéticamente destacadas. Su estructura monobloque de resina de polipropileno reforzada con carga mineral asegura una gran resistencia, mientras que su diseño elegante se caracteriza por la combinación de líneas rectas y formas curvas, creando un contraste visual único.</p>
<p>Con respaldo regulable en cinco posiciones, reposabrazos y ruedas integradas en la estructura. El tejido sustituible por cordón añade versatilidad.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 75 cm | Alto: 37 cm | Peso: 14.6 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, carmen",TRUE,Configuracion,Chasis Blanco/Tablillas,BALLIU_CARMEN_TUMBONA_CHASIS_BLANCO_TA_ADD04DFC,0,shopify,0,deny,manual,107.10,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2020/01/carmen-tumbona-blanco-azul-800x614-1.jpg,1,Tumbona de exterior resina | 75 cm,FALSE,Tumbona de exterior resina | 75 cm,"Una de las tumbonas más resistentes de Balliu, pero también una de las más estéticamente destacadas. Su estructura monobloque de resina de polipropileno reforzada con carga mineral asegura una gran resistencia, mientras que su diseño elegante se caracteriza por la combinación de líneas rectas y formas curvas, creando u",active,
carmen-tumbona,,,,,,,,Configuracion,Chasis Prestige/Tablillas,BALLIU_CARMEN_TUMBONA_CHASIS_PRESTIGE__3B908F70,0,shopify,0,deny,manual,112.55,,TRUE,TRUE,,,,FALSE,,,active,
carmen-tumbona,,,,,,,,Configuracion,Chasis Blanco/Tela Balliu,BALLIU_CARMEN_TUMBONA_CHASIS_BLANCO_TE_009E68E4,0,shopify,0,deny,manual,93.89,,TRUE,TRUE,,,,FALSE,,,active,
carmen-tumbona,,,,,,,,Configuracion,Chasis Prestige/Tela Balliu,BALLIU_CARMEN_TUMBONA_CHASIS_PRESTIGE__16A6D4DB,0,shopify,0,deny,manual,96.47,,TRUE,TRUE,,,,FALSE,,,active,
lola-tumbona,Tumbona de exterior resina | 75 cm,"<p>La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno.</p>
<p>El respaldo es regulable en cinco posiciones, cuenta con ruedas integradas y el tejido es sustituible. Con un diseño que facilita el acceso, Lola ofrece una experiencia de descanso más relajante.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 75 cm | Alto: 95 cm | Peso: 14,4 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, lola",TRUE,Configuracion,Chasis Blanco/Tablillas,BALLIU_LOLA_TUMBONA_CHASIS_BLANCO_TA_3D8CA52F,0,shopify,0,deny,manual,106.97,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2020/01/lola-tumbona-blanco-azul-800x614-2.jpg,1,Tumbona de exterior resina | 75 cm,FALSE,Tumbona de exterior resina | 75 cm,"La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno. El respaldo es regulable en cinco posiciones, cuen",active,
lola-tumbona,,,,,,,,Configuracion,Chasis Prestige/Tablillas,BALLIU_LOLA_TUMBONA_CHASIS_PRESTIGE__9F313C12,0,shopify,0,deny,manual,108.81,,TRUE,TRUE,,,,FALSE,,,active,
lola-tumbona,,,,,,,,Configuracion,Chasis Blanco/Tela Balliu,BALLIU_LOLA_TUMBONA_CHASIS_BLANCO_TE_ACA076AE,0,shopify,0,deny,manual,93.34,,TRUE,TRUE,,,,FALSE,,,active,
