handle,title,title_len,title_convencion,handle_hash,seo_title,seo_title_len,meta_desc,meta_len,desc_words,desc_ficha_tecnica,desc_h2,desc_lista,desc_tabla,n_imgs,alt_vacios,alt_tipo_fichero,alt_cortos,imgs_pequenas,featured_alt,n_variantes,var_sin_barcode,var_sin_sku,var_sin_imagen,vendor,tipo,n_tags
sillon-exterior-aluminio-estilo-envolvente-9890-cm,Sillón exterior aluminio · estilo envolvente | 98×90 cm,55,True,False,False,0,True,85,162,False,True,True,False,5,0,0,0,0,True,1,1,0,1,Hevea,Sillón,8
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,65,True,False,False,0,True,95,170,False,True,True,False,5,0,0,0,0,True,1,1,0,1,Hevea,Sofá,9
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,65,True,False,False,0,True,95,170,False,True,True,False,5,0,0,0,0,True,1,1,0,1,Hevea,Sofá,9
set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín 2 plazas · contemporáneo · Brandon,45,True,False,True,70,True,116,161,False,False,True,False,5,0,0,0,0,True,1,1,0,1,Hevea,Conjunto sofá,9
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Set jardín 3 plazas · contemporáneo · Brandon,45,True,False,False,0,True,94,205,False,True,True,False,6,0,0,0,0,True,1,1,0,1,Hevea,Conjunto sofá,9
sillon-exterior-estilo-elegante-7275-cm,Sillón exterior · estilo elegante | 72×75 cm,44,True,False,False,0,True,74,158,False,True,True,False,5,0,0,0,0,True,1,1,0,1,Hevea,Sillón,7
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,53,True,False,False,0,True,83,157,False,True,True,False,4,0,0,0,0,True,1,1,0,1,Hevea,Sofá,8
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,54,True,False,False,0,True,84,157,False,True,True,False,4,0,0,0,0,True,1,1,0,1,Hevea,Sofá,8
mesa-de-centro-exterior-90-cm-altura-40-cm,Mesa de centro exterior 90 cm · altura 40 cm,44,True,False,False,0,True,78,133,False,True,True,False,2,0,0,0,0,True,1,1,0,1,Hevea,Mesa centro,6
mesa-de-centro-exterior-120-cm-altura-40-cm,Mesa de centro exterior 120 cm · altura 40 cm,45,True,False,False,0,True,145,144,False,True,True,False,2,0,0,0,0,True,1,1,0,1,Hevea,Mesa centro,6
