producto,tipo,modelo_fabricante,color_variante,sku_santavila,ref_proveedor_guardada,handle,EAN_a_rellenar
Sillón exterior aluminio · estilo envolvente | 98×90 cm,Sillón,,,557-010881,,sillon-exterior-aluminio-estilo-envolvente-9890-cm,
Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,Sofá,,,557-010882,,sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,
Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,Sofá,,,557-010879,,sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,
Set jardín aluminio 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa,Conjunto sofá,,,557-010884,,set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,
Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,Conjunto sofá,,,557-010885,,set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,
Sillón exterior · estilo elegante | 72×75 cm,Sillón,,,557-010935,,sillon-exterior-estilo-elegante-7275-cm,
Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,Sofá,,,557-010936,,sofa-terraza-2-plazas-estilo-envolvente-13575-cm,
Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,Sofá,,,557-010937,,sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,
Mesa de centro exterior 90 cm · altura 40 cm,Mesa centro,,,557-1071,,mesa-de-centro-exterior-90-cm-altura-40-cm,
Mesa de centro exterior 120 cm · altura 40 cm,Mesa centro,,,557-1563-B,,mesa-de-centro-exterior-120-cm-altura-40-cm,
Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa,Conjunto sofá,,,557-010938,,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa,
Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa,Conjunto sofá,,,557-010939,,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa,
Sillón exterior · estilo versátil | 77×83 cm,Sillón,,,600-010021,,sillon-exterior-estilo-versatil-7783-cm,
Sofá terraza 2 plazas · estilo estilizado | 143×83 cm,Sofá,,,600-010022,,sofa-terraza-2-plazas-estilo-estilizado-14383-cm,
Sofá terraza 3 plazas · estilo contemporáneo | 185×83 cm,Sofá,,,600-010023,,sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm,
Mesa de centro exterior HPL 70 cm · altura 45 cm,Mesa centro,,,600-010024,,mesa-de-centro-exterior-hpl-70-cm-altura-45-cm,
Reposapiés exterior · 73×46×40 cm,Reposapiés,,,600-010025,,reposapies-exterior-734640-cm,
Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa,Conjunto sofá,,,600-010026,,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa,
Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,Conjunto sofá,,,600-010027,,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,
Sillón exterior · estilo elegante | 65×90 cm,Sillón,,,557-010813,,sillon-exterior-estilo-elegante-6590-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 130×90 cm,Sofá,,,557-010814,,sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm,
Sofá terraza 3 plazas · estilo contemporáneo | 185×90 cm,Sofá,,,557-010815,,sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,
Reposapiés exterior · 60×50×40 cm,Reposapiés,,,557-010785,,reposapies-exterior-605040-cm,
Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 2,Conjunto sofá,,,557-010816,,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,
Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 2,Conjunto sofá,,,557-010817,,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,
Sillón exterior · estilo envolvente | 75×82 cm,Sillón,,,557-1089,,sillon-exterior-estilo-envolvente-7582-cm,
Sofá terraza 3 plazas · estilo contemporáneo | 198×82 cm,Sofá,,,557-1090,,sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 150×82 cm,Sofá,,,557-1091,,sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,
Mesa de centro exterior 125 cm · altura 38 cm,Mesa centro,,,557-1092,,mesa-de-centro-exterior-125-cm-altura-38-cm,
Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 3,Conjunto sofá,,,557-1094,,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,
Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 3,Conjunto sofá,,,557-1095,,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,
Sillón exterior · estilo estilizado | 70×69 cm,Sillón,,,600-010090,,sillon-exterior-estilo-estilizado-7069-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 162×69 cm,Sofá,,,600-010091,,sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,
Sofá terraza 3 plazas · estilo elegante | 220×69 cm,Sofá,,,600-010092,,sofa-terraza-3-plazas-estilo-elegante-22069-cm,
Reposapiés exterior · 50×45×40 cm,Reposapiés,,,600-010093,,reposapies-exterior-504540-cm,
Sillón exterior · estilo elegante | 65×78 cm,Sillón,,,557-011090,,sillon-exterior-estilo-elegante-6578-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 120×78 cm,Sofá,,,557-011091,,sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,
Sofá terraza 3 plazas · estilo sofisticado | 175×78 cm,Sofá,,,557-011092,,sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,
Mesa de centro exterior 90 cm · altura 41 cm,Mesa centro,,,557-011075,,mesa-de-centro-exterior-90-cm-altura-41-cm,
Mesa de centro exterior 120 cm · altura 41 cm,Mesa centro,,,557-011076,,mesa-de-centro-exterior-120-cm-altura-41-cm,
Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 2,Conjunto sofá,,,557-011094,,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-2,
Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sillones + mesa,Conjunto sofá,,,557-011095,,set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa,
Sillón exterior · estilo versátil | 76×100 cm,Sillón,,,557-010726,,sillon-exterior-estilo-versatil-76100-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 145×100 cm,Sofá,,,557-010727,,sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,
Sofá terraza 3 plazas · estilo sofisticado | 212×100 cm,Sofá,,,557-010728,,sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,
Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 4,Conjunto sofá,,,557-010729,,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,
Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 4,Conjunto sofá,,,557-010730,,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,
Reposapiés exterior · 85×50×43 cm,Reposapiés,,,557-0185,,reposapies-exterior-855043-cm,
Sillón exterior · estilo elegante | 80×104 cm,Sillón,,,557-010478,,sillon-exterior-estilo-elegante-80104-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 164×104 cm,Sofá,,,557-010479,,sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,
Sofá terraza 3 plazas · estilo contemporáneo | 215×104 cm,Sofá,,,557-010480,,sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,
Mesa de centro exterior 125 cm · altura 42 cm,Mesa centro,,,557-0008,,mesa-de-centro-exterior-125-cm-altura-42-cm,
Reposapiés exterior · 85×50×43 cm,Reposapiés,,,557-010482,,reposapies-exterior-855043-cm-2,
Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 5,Conjunto sofá,,,557-0793,,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,
Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 2,Conjunto sofá,,,557-010483,,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,
Sillón exterior bicolor · estilo bicolor | 73×76 cm,Sillón,,,558-0051,,sillon-exterior-bicolor-estilo-bicolor-7376-cm,
Sofá terraza bicolor 2 plazas · estilo bicolor | 140×76 cm,Sofá,,,558-0070,,sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,
Sofá terraza bicolor 3 plazas · estilo bicolor | 200×76 cm,Sofá,,,558-0052,,sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,
Mesa de centro exterior HPL 120 cm · altura 40 cm,Mesa centro,,,558-0033,,mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,
Mesa de centro exterior HPL 135 cm · altura 40 cm,Mesa centro,,,558-0039,,mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,
Reposapiés exterior bicolor · 70×45×44 cm,Reposapiés,,,558-0049,,reposapies-exterior-bicolor-704544-cm,
Set jardín bicolor 2 plazas · bicolor | sofá 2 plazas + 2 sillones + mesa,Conjunto sofá,,,558-0066,,set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,
Set jardín bicolor 3 plazas · bicolor | sofá 3 plazas + 2 sillones + mesa,Conjunto sofá,,,558-0050,,set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,
Sillón exterior · estilo versátil | 76×85 cm,Sillón,,,557-010716,,sillon-exterior-estilo-versatil-7685-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 137×85 cm,Sofá,,,557-010717,,sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,
Sofá terraza 3 plazas · estilo contemporáneo | 196×85 cm,Sofá,,,557-010718,,sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,
Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa,Conjunto sofá,,,557-010719,,set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,
Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 3,Conjunto sofá,,,557-010720,,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,
Sillón exterior · estilo moderno | 70×85 cm,Sillón,,,557-010103,,sillon-exterior-estilo-moderno-7085-cm,
Sofá terraza 2 plazas · estilo elegante | 150×85 cm,Sofá,,,557-010104,,sofa-terraza-2-plazas-estilo-elegante-15085-cm,
Sofá terraza 3 plazas · estilo contemporáneo | 190×85 cm,Sofá,,,557-010105,,sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,
Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa 2,Conjunto sofá,,,557-010106,,set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,
Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sillones + mesa 2,Conjunto sofá,,,557-010107,,set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,
Mesa de centro exterior 90 cm · altura 40 cm 2,Mesa centro,,,557-1070,,mesa-de-centro-exterior-90-cm-altura-40-cm-2,
Mesa de centro exterior 120 cm · altura 40 cm 2,Mesa centro,,,557-1563,,mesa-de-centro-exterior-120-cm-altura-40-cm-2,
Sillón exterior · estilo contemporáneo | 68×115 cm,Sillón,,,557-0794,,sillon-exterior-estilo-contemporaneo-68115-cm,
Sofá terraza 2 plazas · estilo moderno | 128×115 cm,Sofá,,,557-0795,,sofa-terraza-2-plazas-estilo-moderno-128115-cm,
