proveedor,handle,titulo,n_variantes,falta_COSTE,falta_FOTO,n_var_sin_coste,admin
Balliu,balliu-cojin-exterior-523e5ae9,Cojín exterior,1,,SÍ,0,https://admin.shopify.com/store/mueblesexterior/products/15512253956420
Balliu,balliu-parasol-para-terraza-82e48b2d,Parasol exterior tela · Ø200 cm · Pamela tela,64,SÍ,,64,https://admin.shopify.com/store/mueblesexterior/products/15512252383556
Balliu,balliu-tumbona-de-exterior-20620134,Tumbona Alba (DRAFT — pendiente verificar con proveedor),1,,SÍ,0,https://admin.shopify.com/store/mueblesexterior/products/15512247632196
santavila,mesa-auxiliar-exterior-aluminio-hpl-gd-45x45-etna,Mesa auxiliar exterior · aluminio HPL Gran Densidad 45×45 cm · Etna,1,SÍ,SÍ,1,https://admin.shopify.com/store/mueblesexterior/products/15554653585732
santavila,mesa-auxiliar-exterior-aluminio-werzalit-60-etna,Mesa auxiliar exterior · aluminio Werzalit Ø60 cm · Etna,1,SÍ,SÍ,1,https://admin.shopify.com/store/mueblesexterior/products/15554653618500
santavila,mesa-de-centro-exterior-aluminio-hpl-gd-110x60,Mesa de centro exterior · aluminio HPL Gran Densidad 110×60 cm,1,SÍ,SÍ,1,https://admin.shopify.com/store/mueblesexterior/products/15554652864836
santavila,mesa-extensible-exterior-aluminio-hpl-gd-java,Mesa extensible exterior aluminio · HPL Gran Densidad · Java,2,SÍ,SÍ,2,https://admin.shopify.com/store/mueblesexterior/products/15554662302020
santavila,mesa-exterior-aluminio-agata-extras,Mesa exterior aluminio · variantes extras · Ágata,2,SÍ,SÍ,2,https://admin.shopify.com/store/mueblesexterior/products/15554662433092
santavila,mesa-exterior-aluminio-altea-extras,Mesa exterior aluminio · variantes extras · Altea,5,SÍ,SÍ,5,https://admin.shopify.com/store/mueblesexterior/products/15554662400324
santavila,mesa-exterior-aluminio-hpl-120x80-capri-doble,Mesa exterior aluminio · HPL 120×80 cm · Capri Doble,15,SÍ,,15,https://admin.shopify.com/store/mueblesexterior/products/15554662203716
santavila,mesa-exterior-aluminio-hpl-gd-120x80-capri-doble,Mesa exterior aluminio · HPL GD / pie alto · Capri Doble 120×80,3,SÍ,SÍ,3,https://admin.shopify.com/store/mueblesexterior/products/15554662367556
santavila,mesa-exterior-aluminio-hpl-gd-brunei,Mesa exterior aluminio · HPL Gran Densidad · Brunei,4,SÍ,SÍ,4,https://admin.shopify.com/store/mueblesexterior/products/15554662269252
santavila,mesa-exterior-aluminio-hpl-gd-capri,Mesa exterior aluminio · HPL Gran Densidad · Capri,5,SÍ,SÍ,5,https://admin.shopify.com/store/mueblesexterior/products/15554662334788
santavila,parasol-cuadrado-200x200,Parasol cuadrado exterior · aluminio 200×200 cm · Ágora,9,SÍ,,9,https://admin.shopify.com/store/mueblesexterior/products/15553968570692
santavila,silla-exterior-resina-bruna-precio-alto-pendiente,"Silla exterior resina · Bruna (variante 197,73€) — pendiente confirmar",1,SÍ,SÍ,1,https://admin.shopify.com/store/mueblesexterior/products/15554664595780
santavila,tumbona-carmen-tablillas,Tumbona exterior resina · 75 cm tablillas · Carmen T,5,SÍ,,5,https://admin.shopify.com/store/mueblesexterior/products/15554650210628
santavila,tumbona-lola-tablillas,Tumbona exterior resina playa · 75 cm tablillas · Lola T,5,SÍ,,5,https://admin.shopify.com/store/mueblesexterior/products/15554650243396
