SKU;Producto;Precio neto exworks sin iva;Precio Venta;Margen €;Margen%;Coste de Envio;;PVP Recomendado;Descripción;Ancho (cm);Fondo (cm);Alto (cm);Imagen;Proveedor;Match %;Color Match;Detalle Match
BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TA_923110D9;Tumbona de exterior resina;112,55 €;230,73 €;64,10 €;56,95 %;;;230,73 €;"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.
Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.
Resina Classic
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TE_B19AF1EA;Tumbona de exterior resina;117,05 €;239,95 €;66,66 €;56,95 %;;;239,95 €;"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.
Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.
Resina Classic
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_EVA_PRO_TUMBONA_CHASIS_PRESTIGE__DDEEEF3F;Tumbona de exterior resina;124,07 €;254,34 €;70,66 €;56,95 %;;;254,34 €;"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.
Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.
Resina Classic
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_CARMEN_TUMBONA_CHASIS_BLANCO_TA_ADD04DFC;Tumbona de exterior resina | 75 cm;107,10 €;219,56 €;60,99 €;56,95 %;;;219,56 €;"Una de las tumbonas más resistentes de Balliu, pero también una de las más estéticamente destacadas. Su estructura monobloque de resina de polipropileno reforzada con carga mineral asegura una gran resistencia, mientras que su diseño elegante se caracteriza por la combinación de líneas rectas y formas curvas, creando un contraste visual único.
Con respaldo regulable en cinco posiciones, reposabrazos y ruedas integradas en la estructura. El tejido sustituible por cordón añade versatilidad.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 37 cm | Peso: 14.6 kg";75;;37;https://www.balliuexport.com/wp-content/uploads/2020/01/carmen-tumbona-blanco-azul-800x614-1.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_CARMEN_TUMBONA_CHASIS_PRESTIGE__3B908F70;Tumbona de exterior resina | 75 cm;112,55 €;230,73 €;64,10 €;56,95 %;;;230,73 €;"Una de las tumbonas más resistentes de Balliu, pero también una de las más estéticamente destacadas. Su estructura monobloque de resina de polipropileno reforzada con carga mineral asegura una gran resistencia, mientras que su diseño elegante se caracteriza por la combinación de líneas rectas y formas curvas, creando un contraste visual único.
Con respaldo regulable en cinco posiciones, reposabrazos y ruedas integradas en la estructura. El tejido sustituible por cordón añade versatilidad.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 37 cm | Peso: 14.6 kg";75;;37;https://www.balliuexport.com/wp-content/uploads/2020/01/carmen-tumbona-blanco-azul-800x614-1.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_CARMEN_TUMBONA_CHASIS_BLANCO_TE_009E68E4;Tumbona de exterior resina | 75 cm;93,89 €;192,47 €;53,47 €;56,95 %;;;192,47 €;"Una de las tumbonas más resistentes de Balliu, pero también una de las más estéticamente destacadas. Su estructura monobloque de resina de polipropileno reforzada con carga mineral asegura una gran resistencia, mientras que su diseño elegante se caracteriza por la combinación de líneas rectas y formas curvas, creando un contraste visual único.
Con respaldo regulable en cinco posiciones, reposabrazos y ruedas integradas en la estructura. El tejido sustituible por cordón añade versatilidad.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 37 cm | Peso: 14.6 kg";75;;37;https://www.balliuexport.com/wp-content/uploads/2020/01/carmen-tumbona-blanco-azul-800x614-1.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_CARMEN_TUMBONA_CHASIS_PRESTIGE__16A6D4DB;Tumbona de exterior resina | 75 cm;96,47 €;197,76 €;54,94 €;56,95 %;;;197,76 €;"Una de las tumbonas más resistentes de Balliu, pero también una de las más estéticamente destacadas. Su estructura monobloque de resina de polipropileno reforzada con carga mineral asegura una gran resistencia, mientras que su diseño elegante se caracteriza por la combinación de líneas rectas y formas curvas, creando un contraste visual único.
Con respaldo regulable en cinco posiciones, reposabrazos y ruedas integradas en la estructura. El tejido sustituible por cordón añade versatilidad.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 37 cm | Peso: 14.6 kg";75;;37;https://www.balliuexport.com/wp-content/uploads/2020/01/carmen-tumbona-blanco-azul-800x614-1.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_LOLA_TUMBONA_CHASIS_BLANCO_TA_3D8CA52F;Tumbona de exterior resina | 75 cm;106,97 €;219,29 €;60,92 €;56,95 %;;;219,29 €;"La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno.
El respaldo es regulable en cinco posiciones, cuenta con ruedas integradas y el tejido es sustituible. Con un diseño que facilita el acceso, Lola ofrece una experiencia de descanso más relajante.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 95 cm | Peso: 14,4 kg";75;;95;https://www.balliuexport.com/wp-content/uploads/2020/01/lola-tumbona-blanco-azul-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_LOLA_TUMBONA_CHASIS_PRESTIGE__9F313C12;Tumbona de exterior resina | 75 cm;108,81 €;223,06 €;61,97 €;56,95 %;;;223,06 €;"La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno.
El respaldo es regulable en cinco posiciones, cuenta con ruedas integradas y el tejido es sustituible. Con un diseño que facilita el acceso, Lola ofrece una experiencia de descanso más relajante.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 95 cm | Peso: 14,4 kg";75;;95;https://www.balliuexport.com/wp-content/uploads/2020/01/lola-tumbona-blanco-azul-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_LOLA_TUMBONA_CHASIS_BLANCO_TE_ACA076AE;Tumbona de exterior resina | 75 cm;93,34 €;191,35 €;53,16 €;56,95 %;;;191,35 €;"La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno.
El respaldo es regulable en cinco posiciones, cuenta con ruedas integradas y el tejido es sustituible. Con un diseño que facilita el acceso, Lola ofrece una experiencia de descanso más relajante.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 95 cm | Peso: 14,4 kg";75;;95;https://www.balliuexport.com/wp-content/uploads/2020/01/lola-tumbona-blanco-azul-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_LOLA_TUMBONA_CHASIS_PRESTIGE__B52B3A7F;Tumbona de exterior resina | 75 cm;96,20 €;197,21 €;54,79 €;56,95 %;;;197,21 €;"La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno.
El respaldo es regulable en cinco posiciones, cuenta con ruedas integradas y el tejido es sustituible. Con un diseño que facilita el acceso, Lola ofrece una experiencia de descanso más relajante.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 95 cm | Peso: 14,4 kg";75;;95;https://www.balliuexport.com/wp-content/uploads/2020/01/lola-tumbona-blanco-azul-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
