SKU,Producto,Precio neto exworks sin iva,Precio Venta,Margen €,Margen%,Coste de Envio,Unnamed: 7,PVP Recomendado,Descripción,Ancho (cm),Fondo (cm),Alto (cm),Imagen,Proveedor
557-010881,BRANDON-1 SILLON/ARMCHAIR/FAUTEUIL,"539,00 €","809,92 €","270,92 €","50,26%",0.0,,980 €,"El sillón BRANDON-1 está fabricado íntegramente en aluminio con estructura tubular reforzada y acabado termo-lacado de alta resistencia. Su diseño combina líneas envolventes con cojines de gran volumen, ofreciendo ergonomía y estabilidad en entornos exteriores exigentes. Los cojines incorporan espuma de alta densidad y tapizado técnico para exterior, resistente a la intemperie y de fácil mantenimiento.",98,90.0,90.0,https://hevea.es/mpcrm/imgs/uploads/sill%C3%B3n%20brandon.png,Hevea
557-010882,BRANDON-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"809,00 €","1.214,88 €","405,88 €","50,17%",0.0,,1.470 €,"El sofá BRANDON-2 de 2 plazas mantiene la estructura de aluminio reforzado con acabado de alta durabilidad, garantizando resistencia frente a humedad y radiación UV. Su diseño equilibrado ofrece confort y presencia estética en espacios exteriores contemporáneos. Incorpora cojines de asiento y respaldo de gran espesor con espuma técnica de alta recuperación, tapizados en tejido exterior preparado para uso intensivo.",166,90.0,90.0,https://hevea.es/mpcrm/imgs/uploads/brandon%202%20plazas.jpg,Hevea
557-010879,BRANDON-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"1.067,00 €","1.603,31 €","536,31 €","50,26%",0.0,,1.940 €,El sofá BRANDON-3 de 3 plazas amplía la capacidad manteniendo la solidez estructural en aluminio termo-lacado. Su formato lineal permite configuraciones amplias en terrazas y zonas lounge. Los cojines de gran volumen aportan máximo confort y están fabricados con materiales resistentes a la intemperie y diseñados para uso profesional exterior.,220,90.0,90.0,https://hevea.es/mpcrm/imgs/uploads/brandon%203%20plazas.png,Hevea
557-010884,LUNA-44 SET MESAS CENTRO 80 + 60,"240,00 €","359,50 €","119,50 €","49,79%",50.0,,435 €,"El set LUNA-44 incluye dos mesas de centro de 80 y 60 cm fabricadas con estructura metálica robusta y sobres resistentes para exterior. Su diseño modular permite superposición o uso independiente, adaptándose a diferentes composiciones lounge. Materiales preparados para exposición exterior y fácil mantenimiento.",140,,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20brandon%20luna.jpg,Hevea
557-010884,BRANDON-7 SET SOFA 2 PLAZAS/SOFA/CANAPÉ,"2.126,00 €","3.194,21 €","1.068,21 €","50,25%",0.0,,3.865 €,"El conjunto BRANDON-7 integra sofá de 2 plazas, sillones y mesas auxiliares en una solución completa para espacios exteriores. Fabricado en aluminio con acabado de alta resistencia, está concebido para uso intensivo en hoteles y proyectos contract. Sus cojines técnicos garantizan confort prolongado y durabilidad frente a condiciones climáticas adversas.",,,,https://hevea.es/mpcrm/imgs/uploads/1739541476_BRANDON-7.jpg,Hevea
557-010885,BRANDON-8 SET SOFA 3 PLAZAS/SOFA/CANAPÉ,"2.385,00 €","3.582,64 €","1.197,64 €","50,22%",0.0,,4.335 €,"El conjunto BRANDON-8 ofrece una configuración de mayor capacidad con sofá de 3 plazas y piezas complementarias, manteniendo la estructura de aluminio reforzado y acabado premium. Diseñado para entornos profesionales exteriores, combina robustez, comodidad y estética contemporánea. Cojines de alta densidad con tejido técnico resistente a la intemperie.",,,,https://hevea.es/mpcrm/imgs/uploads/brandon%208%20(3).png,Hevea
557-010935,DAMASCO-1 SILLON/ARMCHAIR/FAUTEUIL,"361,00 €","541,32 €","180,32 €","49,95%",50.0,,655 €,"El sillón DAMASCO-1 es una pieza elegante y equilibrada para terrazas y jardines. Su diseño contemporáneo y sus cojines amplios ofrecen una experiencia de descanso cómoda y relajada. Fabricado con estructura resistente para exterior, garantiza estabilidad y durabilidad frente al uso diario. Ideal como pieza individual o combinado con el resto de la colección DAMASCO.",72,79.0,75.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20damasco.png,Hevea
557-010936,DAMASCO-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"531,00 €","797,52 €","266,52 €","50,19%",0.0,,965 €,"El sofá DAMASCO de 2 plazas combina diseño moderno y confort en un formato compacto. Su estructura preparada para exterior aporta resistencia y estabilidad, mientras que sus cojines voluminosos garantizan una sentada cómoda y envolvente. Perfecto para terrazas urbanas o patios que buscan estilo y funcionalidad.",135,79.0,75.0,https://hevea.es/mpcrm/imgs/uploads/damasco%207.png,Hevea
557-010937,DAMASCO-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"674,00 €","1.012,40 €","338,40 €","50,21%",0.0,,1.225 €,"El sofá DAMASCO de 3 plazas transforma cualquier espacio exterior en un auténtico salón al aire libre. Amplio y sofisticado, ofrece asiento profundo y cojines generosos que invitan al relax. Su estructura robusta asegura durabilidad y estabilidad durante todo el año.",194,79.0,75.0,https://hevea.es/mpcrm/imgs/uploads/damasco%208.png,Hevea
557-1071,UNIVERSAL-80 MESA CENTRO/COFFEE TABLE,"154,00 €","231,40 €","77,40 €","50,26%",0.0,,280 €,"La mesa de centro UNIVERSAL-80 destaca por su diseño minimalista y funcional. Compacta y resistente, está preparada para uso exterior y resulta ideal para apoyar bebidas o elementos decorativos. Se integra perfectamente en conjuntos de terraza modernos.",90,50.0,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20universal%20centro%20estandar%2090.png,Hevea
