handle,sku,fuente,price_antes,price_despues,compare_antes,compare_despues,status,error
sillon-exterior-aluminio-estilo-envolvente-9890-cm,557-010881,excel_col_G,1189.00,1189.00,1300.00,1300.00,SIN_CAMBIOS,
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,557-010882,excel_col_G,1779.00,1779.00,1900.00,1900.00,SIN_CAMBIOS,
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,557-010879,excel_col_G,2349.00,2349.00,2600.00,2600.00,SIN_CAMBIOS,
set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,557-010884,psy(shopify),359.50,349.90,435.00,384.95,OK,
set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,557-010884,psy(shopify),4679.00,4679.00,5100.00,5100.00,SIN_CAMBIOS,
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,557-010885,excel_col_G,5249.00,5249.00,5800.00,5800.00,SIN_CAMBIOS,
sillon-exterior-estilo-elegante-7275-cm,557-010935,excel_col_G,795.00,795.00,850.00,850.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,557-010936,excel_col_G,1169.00,1169.00,1300.00,1300.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,557-010937,excel_col_G,1485.00,1485.00,1600.00,1600.00,SIN_CAMBIOS,
mesa-de-centro-exterior-90-cm-altura-40-cm,557-1071,excel_col_G,338.95,338.95,372.95,372.95,SIN_CAMBIOS,
mesa-de-centro-exterior-120-cm-altura-40-cm,557-1563,psy(shopify),322.31,322.95,390.00,349.95,OK,
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa,557-010938,excel_col_G,3095.00,3095.00,3400.00,3400.00,SIN_CAMBIOS,
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa,557-010939,excel_col_G,3540.00,3540.00,3900.00,3900.00,SIN_CAMBIOS,
sillon-exterior-estilo-versatil-7783-cm,600-010021,excel_col_G,959.00,959.00,1050.00,1050.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-estilizado-14383-cm,600-010022,excel_col_G,1399.00,1399.00,1500.00,1500.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm,600-010023,excel_col_G,1775.00,1775.00,1900.00,1900.00,SIN_CAMBIOS,
mesa-de-centro-exterior-hpl-70-cm-altura-45-cm,600-010024,excel_col_G,505.00,505.00,550.00,550.00,SIN_CAMBIOS,
reposapies-exterior-734640-cm,600-010025,excel_col_G,387.95,387.95,425.95,426.95,OK,
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa,600-010026,excel_col_G,3819.00,3819.00,4200.00,4200.00,SIN_CAMBIOS,
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,600-010027,excel_col_G,4195.00,4195.00,4600.00,4600.00,SIN_CAMBIOS,
sillon-exterior-estilo-elegante-6590-cm,557-010813,excel_col_G,1019.00,1019.00,1100.00,1100.00,SIN_CAMBIOS,
