Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Cost per item
sillon-exterior-aluminio-estilo-envolvente-9890-cm,Sillón exterior aluminio · estilo envolvente | 98×90 cm,"<p>El sillón está fabricado íntegramente en aluminio con estructura tubular reforzada y acabado termo-lacado de alta resistencia. Su diseño combina líneas envolventes con cojines de gran volumen, ofreciendo ergonomía y estabilidad en entornos exteriores exigentes. Los cojines incorporan espuma de alta densidad y tapizado técnico para exterior, resistente a la intemperie y de fácil mantenimiento.</p>
<ul>
  <li>Estructura en <strong>aluminio termo-lacado</strong>: ligera, resistente a la corrosión y duradera sin mantenimiento especial</li>
  <li>Cojines de <strong>espuma de alta densidad</strong> con tapizado técnico resistente a la intemperie y de fácil mantenimiento</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 98 cm &nbsp;|&nbsp; Fondo: 90 cm &nbsp;|&nbsp; Alto: 90 cm</p>",Muebles Exterior,,Sillón,"exterior, terraza, jardín, sillón, aluminio, hostelería",TRUE,Title,Default Title,557-010881,0,shopify,10,deny,manual,809.92,980.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/sill%C3%B3n%20brandon.png,1,Sillón exterior aluminio · estilo envolvente | 98×90 cm,FALSE,Sillón exterior aluminio · estilo envolvente | 98×90 cm,"El sillón está fabricado íntegramente en aluminio con estructura tubular reforzada y acabado termo-lacado de alta resistencia. Su diseño combina líneas envolventes con cojines de gran volumen, ofreciendo ergonomía y estabilidad en entornos exteriores exigentes. Los cojines incorporan espuma de alta densidad y tapizado ",active,539.00
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,"<p>El sofá de 2 plazas mantiene la estructura de aluminio reforzado con acabado de alta durabilidad, garantizando resistencia frente a humedad y radiación UV. Su diseño equilibrado ofrece confort y presencia estética en espacios exteriores contemporáneos. Incorpora cojines de asiento y respaldo de gran espesor con espuma técnica de alta recuperación, tapizados en tejido exterior preparado para uso intensivo.</p>
<ul>
  <li>Estructura en <strong>aluminio termo-lacado</strong>: ligera, resistente a la corrosión y duradera sin mantenimiento especial</li>
  <li>Cojines con <strong>tapizado técnico para exterior</strong>, resistentes a la intemperie</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 166 cm &nbsp;|&nbsp; Fondo: 90 cm &nbsp;|&nbsp; Alto: 90 cm</p>",Muebles Exterior,,Sofá,"exterior, terraza, jardín, sofá, aluminio, 2 plazas, hostelería",TRUE,Title,Default Title,557-010882,0,shopify,10,deny,manual,1214.88,1470.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/brandon%202%20plazas.jpg,1,Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,FALSE,Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,"El sofá de 2 plazas mantiene la estructura de aluminio reforzado con acabado de alta durabilidad, garantizando resistencia frente a humedad y radiación UV. Su diseño equilibrado ofrece confort y presencia estética en espacios exteriores contemporáneos. Incorpora cojines de asiento y respaldo de gran espesor con espuma ",active,809.00
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,"<p>El sofá de 3 plazas amplía la capacidad manteniendo la solidez estructural en aluminio termo-lacado. Su formato lineal permite configuraciones amplias en terrazas y zonas lounge. Los cojines de gran volumen aportan máximo confort y están fabricados con materiales resistentes a la intemperie y diseñados para uso profesional exterior.</p>
<ul>
  <li>Estructura en <strong>aluminio termo-lacado</strong>: ligera, resistente a la corrosión y duradera sin mantenimiento especial</li>
  <li>Cojines con <strong>tapizado técnico para exterior</strong>, resistentes a la intemperie</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Diámetro: 220 cm &nbsp;|&nbsp; Fondo: 90 cm &nbsp;|&nbsp; Alto: 90 cm</p>",Muebles Exterior,,Sofá,"exterior, terraza, jardín, sofá, aluminio, 3 plazas, hostelería",TRUE,Title,Default Title,557-010879,0,shopify,10,deny,manual,1603.31,1940.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/brandon%203%20plazas.png,1,Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,FALSE,Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,El sofá de 3 plazas amplía la capacidad manteniendo la solidez estructural en aluminio termo-lacado. Su formato lineal permite configuraciones amplias en terrazas y zonas lounge. Los cojines de gran volumen aportan máximo confort y están fabricados con materiales resistentes a la intemperie y diseñados para uso profesi,active,1067.00
set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín · contemporáneo | sofá 2 plazas + 2 sillones + mesa,"<p>El set incluye dos mesas de centro de 80 y 60 cm fabricadas con estructura metálica robusta y sobres resistentes para exterior. Su diseño modular permite superposición o uso independiente, adaptándose a diferentes composiciones lounge. Materiales preparados para exposición exterior y fácil mantenimiento.</p>
<ul>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Composición completa: <strong>sofá 2 plazas + 2 sillones + mesa de centro</strong> (todo incluido en el precio, listo para montar)</li>
  <li>Set de <strong>dos mesas de centro</strong> de distintas alturas — superponibles o usables de forma independiente</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 140 cm &nbsp;|&nbsp; Alto: 40 cm</p>",Muebles Exterior,,Conjunto sofá,"exterior, terraza, jardín, conjunto sofá, hostelería",TRUE,Title,Default Title,557-010884,0,shopify,10,deny,manual,359.50,435.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/mesa%20brandon%20luna.jpg,1,Set jardín · contemporáneo | sofá 2 plazas + 2 sillones + mesa,FALSE,Set jardín · contemporáneo | sofá 2 plazas + 2 sillones + mesa,"El set incluye dos mesas de centro de 80 y 60 cm fabricadas con estructura metálica robusta y sobres resistentes para exterior. Su diseño modular permite superposición o uso independiente, adaptándose a diferentes composiciones lounge. Materiales preparados para exposición exterior y fácil mantenimiento.",active,240.00
set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín aluminio 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa,"<p>El conjunto integra sofá de 2 plazas, sillones y mesas auxiliares en una solución completa para espacios exteriores. Fabricado en aluminio con acabado de alta resistencia, está concebido para uso intensivo en hoteles y proyectos contract. Sus cojines técnicos garantizan confort prolongado y durabilidad frente a condiciones climáticas adversas.</p>
<ul>
  <li>Estructura en <strong>aluminio termo-lacado</strong>: ligera, resistente a la corrosión y duradera sin mantenimiento especial</li>
  <li>Cojines con <strong>tapizado técnico para exterior</strong>, resistentes a la intemperie</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Composición completa: <strong>sofá 2 plazas + 2 sillones + mesa de centro</strong> (todo incluido en el precio, listo para montar)</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>",Muebles Exterior,,Conjunto sofá,"exterior, terraza, jardín, conjunto sofá, aluminio, 2 plazas, hostelería",TRUE,Title,Default Title,557-010884,0,shopify,10,deny,manual,3194.21,3865.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/1739541476_BRANDON-7.jpg,1,Set jardín aluminio 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa,FALSE,Set jardín aluminio 2 plazas · contemporáneo | sofá 2 plazas + 2 sillo,"El conjunto integra sofá de 2 plazas, sillones y mesas auxiliares en una solución completa para espacios exteriores. Fabricado en aluminio con acabado de alta resistencia, está concebido para uso intensivo en hoteles y proyectos contract. Sus cojines técnicos garantizan confort prolongado y durabilidad frente a condici",active,2126.00
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,"<p>El conjunto ofrece una configuración de mayor capacidad con sofá de 3 plazas y piezas complementarias, manteniendo la estructura de aluminio reforzado y acabado premium. Diseñado para entornos profesionales exteriores, combina robustez, comodidad y estética contemporánea. Cojines de alta densidad con tejido técnico resistente a la intemperie.</p>
<ul>
  <li>Estructura en <strong>aluminio termo-lacado</strong>: ligera, resistente a la corrosión y duradera sin mantenimiento especial</li>
  <li>Cojines de <strong>espuma de alta densidad</strong> con tapizado técnico resistente a la intemperie y de fácil mantenimiento</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Composición completa: <strong>sofá 3 plazas + 2 sillones + mesa de centro</strong> (todo incluido en el precio, listo para montar)</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>",Muebles Exterior,,Conjunto sofá,"exterior, terraza, jardín, conjunto sofá, aluminio, 3 plazas, hostelería",TRUE,Title,Default Title,557-010885,0,shopify,10,deny,manual,3582.64,4335.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/brandon%208%20(3).png,1,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,FALSE,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillo,"El conjunto ofrece una configuración de mayor capacidad con sofá de 3 plazas y piezas complementarias, manteniendo la estructura de aluminio reforzado y acabado premium. Diseñado para entornos profesionales exteriores, combina robustez, comodidad y estética contemporánea. Cojines de alta densidad con tejido técnico res",active,2385.00
sillon-exterior-estilo-elegante-7275-cm,Sillón exterior · estilo elegante | 72×75 cm,"<p>El sillón es una pieza elegante y equilibrada para terrazas y jardines. Su diseño contemporáneo y sus cojines amplios ofrecen una experiencia de descanso cómoda y relajada. Fabricado con estructura resistente para exterior, garantiza estabilidad y durabilidad frente al uso diario. Ideal como pieza individual o combinado con el resto de la colección.</p>
<ul>
  <li>Cojines con <strong>tapizado técnico para exterior</strong>, resistentes a la intemperie</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 72 cm &nbsp;|&nbsp; Fondo: 79 cm &nbsp;|&nbsp; Alto: 75 cm</p>",Muebles Exterior,,Sillón,"exterior, terraza, jardín, sillón, hostelería",TRUE,Title,Default Title,557-010935,0,shopify,10,deny,manual,541.32,655.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/sillon%20damasco.png,1,Sillón exterior · estilo elegante | 72×75 cm,FALSE,Sillón exterior · estilo elegante | 72×75 cm,"El sillón es una pieza elegante y equilibrada para terrazas y jardines. Su diseño contemporáneo y sus cojines amplios ofrecen una experiencia de descanso cómoda y relajada. Fabricado con estructura resistente para exterior, garantiza estabilidad y durabilidad frente al uso diario. Ideal como pieza individual o combinad",active,361.00
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,"<p>El sofá de 2 plazas combina diseño moderno y confort en un formato compacto. Su estructura preparada para exterior aporta resistencia y estabilidad, mientras que sus cojines voluminosos garantizan una sentada cómoda y envolvente. Perfecto para terrazas urbanas o patios que buscan estilo y funcionalidad.</p>
<ul>
  <li>Cojines con <strong>tapizado técnico para exterior</strong>, resistentes a la intemperie</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 135 cm &nbsp;|&nbsp; Fondo: 79 cm &nbsp;|&nbsp; Alto: 75 cm</p>",Muebles Exterior,,Sofá,"exterior, terraza, jardín, sofá, 2 plazas, hostelería",TRUE,Title,Default Title,557-010936,0,shopify,10,deny,manual,797.52,965.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/damasco%207.png,1,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,FALSE,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,"El sofá de 2 plazas combina diseño moderno y confort en un formato compacto. Su estructura preparada para exterior aporta resistencia y estabilidad, mientras que sus cojines voluminosos garantizan una sentada cómoda y envolvente. Perfecto para terrazas urbanas o patios que buscan estilo y funcionalidad.",active,531.00
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,"<p>El sofá de 3 plazas transforma cualquier espacio exterior en un auténtico salón al aire libre. Amplio y sofisticado, ofrece asiento profundo y cojines generosos que invitan al relax. Su estructura robusta asegura durabilidad y estabilidad durante todo el año.</p>
<ul>
  <li>Cojines con <strong>tapizado técnico para exterior</strong>, resistentes a la intemperie</li>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Apto para uso residencial y proyectos de <strong>hostelería y contract</strong> (hoteles, restaurantes, terrazas de establecimientos)</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 194 cm &nbsp;|&nbsp; Fondo: 79 cm &nbsp;|&nbsp; Alto: 75 cm</p>",Muebles Exterior,,Sofá,"exterior, terraza, jardín, sofá, 3 plazas, hostelería",TRUE,Title,Default Title,557-010937,0,shopify,10,deny,manual,1012.40,1225.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/damasco%208.png,1,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,FALSE,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,"El sofá de 3 plazas transforma cualquier espacio exterior en un auténtico salón al aire libre. Amplio y sofisticado, ofrece asiento profundo y cojines generosos que invitan al relax. Su estructura robusta asegura durabilidad y estabilidad durante todo el año.",active,674.00
mesa-de-centro-exterior-90-cm-altura-40-cm,Mesa de centro exterior 90 cm · altura 40 cm,"<p>La mesa de centro destaca por su diseño minimalista y funcional. Compacta y resistente, está preparada para uso exterior y resulta ideal para apoyar bebidas o elementos decorativos. Se integra perfectamente en conjuntos de terraza modernos.</p>
<ul>
  <li>Resistente a <strong>rayos UV, lluvia y humedad</strong> — preparado para exterior durante todo el año</li>
  <li>Mantenimiento mínimo: no requiere tratamientos ni almacenamiento en invierno</li>
  <li>Transporte sencillo y <strong>montaje sin herramientas especiales</strong></li>
</ul>
<p><strong>Dimensiones:</strong> Ancho: 90 cm &nbsp;|&nbsp; Fondo: 50 cm &nbsp;|&nbsp; Alto: 40 cm</p>",Muebles Exterior,,Mesa centro,"exterior, terraza, jardín, mesa centro",TRUE,Title,Default Title,557-1071,0,shopify,10,deny,manual,231.40,280.00,TRUE,TRUE,https://hevea.es/mpcrm/imgs/uploads/mesa%20universal%20centro%20estandar%2090.png,1,Mesa de centro exterior 90 cm · altura 40 cm,FALSE,Mesa de centro exterior 90 cm · altura 40 cm,"La mesa de centro destaca por su diseño minimalista y funcional. Compacta y resistente, está preparada para uso exterior y resulta ideal para apoyar bebidas o elementos decorativos. Se integra perfectamente en conjuntos de terraza modernos.",active,154.00
