action,handle,title,vendor,preview_url,status,notes
hevea-skip,sillon-exterior-aluminio-estilo-envolvente-9890-cm,Sillón exterior aluminio · estilo envolvente | 98×90 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-aluminio-estilo-envolvente-9890-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín · contemporáneo | sofá 2 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín aluminio 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-aluminio-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-elegante-7275-cm,Sillón exterior · estilo elegante | 72×75 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-elegante-7275-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-envolvente-13575-cm,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-envolvente-13575-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-90-cm-altura-40-cm,Mesa de centro exterior 90 cm · altura 40 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-90-cm-altura-40-cm,ok,Already Hevea-tagged
